CVE;advisory name;advisory URL;unknown PoC;Github PoC;Curl PoC;XML PoC;
CVE-2018-1000073;SNYK-RUBY-RUBYGEMSUPDATE-472653;https://security.snyk.io/vuln/SNYK-RUBY-RUBYGEMSUPDATE-47265;no;no;yes;no;
CVE-2018-0525;SNYK-PYTHON-JUBATUS-2320004;https://security.snyk.io/vuln/SNYK-PYTHON-JUBATUS-232000;no;no;yes;no;
CVE-2017-9233;SNYK-COCOAPODS-EXPAT-470947;https://security.snyk.io/vuln/SNYK-COCOAPODS-EXPAT-47094;no;no;no;yes;
CVE-2017-9096;SNYK-DOTNET-ITEXTSHARP-540928;https://security.snyk.io/vuln/SNYK-DOTNET-ITEXTSHARP-54092;no;no;no;yes;
CVE-2017-9096;SNYK-DOTNET-ITEXT7-540927;https://security.snyk.io/vuln/SNYK-DOTNET-ITEXT7-54092;no;no;no;yes;
CVE-2017-5992;SNYK-PYTHON-OPENPYXL-40459;https://security.snyk.io/vuln/SNYK-PYTHON-OPENPYXL-4045;no;no;no;yes;
CVE-2017-2594;SNYK-JAVA-IOHAWT-3105804;https://security.snyk.io/vuln/SNYK-JAVA-IOHAWT-310580;no;no;yes;no;
CVE-2017-20151;SNYK-JAVA-COMITEXTPDF-3185223;https://security.snyk.io/vuln/SNYK-JAVA-COMITEXTPDF-318522;no;no;no;yes;
CVE-2017-18357;SNYK-PHP-SHOPWARESHOPWARE-5807999;https://security.snyk.io/vuln/SNYK-PHP-SHOPWARESHOPWARE-580799;no;no;no;yes;
CVE-2017-17042;SNYK-RUBY-YARD-22004;https://security.snyk.io/vuln/SNYK-RUBY-YARD-2200;no;no;yes;no;
CVE-2017-16762;SNYK-PYTHON-SANIC-40704;https://security.snyk.io/vuln/SNYK-PYTHON-SANIC-4070;no;no;yes;no;
CVE-2017-16759;SNYK-PHP-LIBRENMSLIBRENMS-174588;https://security.snyk.io/vuln/SNYK-PHP-LIBRENMSLIBRENMS-17458;no;no;yes;no;
CVE-2017-16654;SNYK-PHP-SYMFONYSYMFONY-70377;https://security.snyk.io/vuln/SNYK-PHP-SYMFONYSYMFONY-7037;no;no;yes;no;
CVE-2017-16654;SNYK-PHP-SYMFONYINTL-70378;https://security.snyk.io/vuln/SNYK-PHP-SYMFONYINTL-7037;no;no;yes;no;
CVE-2017-15685;SNYK-JAVA-ORGCRAFTERCMS-1047316;https://security.snyk.io/vuln/SNYK-JAVA-ORGCRAFTERCMS-104731;no;no;no;yes;
CVE-2017-15684;SNYK-JAVA-ORGCRAFTERCMS-1047315;https://security.snyk.io/vuln/SNYK-JAVA-ORGCRAFTERCMS-104731;no;no;yes;no;
CVE-2017-15681;SNYK-JAVA-ORGCRAFTERCMS-1047317;https://security.snyk.io/vuln/SNYK-JAVA-ORGCRAFTERCMS-104731;no;no;yes;no;
CVE-2017-15280;SNYK-DOTNET-UMBRACOCMSCORE-5807990;https://security.snyk.io/vuln/SNYK-DOTNET-UMBRACOCMSCORE-580799;no;no;no;yes;
CVE-2017-14695;SNYK-PYTHON-SALT-40688;https://security.snyk.io/vuln/SNYK-PYTHON-SALT-4068;no;no;yes;no;
CVE-2017-12791;SNYK-PYTHON-SALT-42128;https://security.snyk.io/vuln/SNYK-PYTHON-SALT-4212;no;no;yes;no;
CVE-2017-1000026;SNYK-RUBY-MIXLIBARCHIVE-3251522;https://security.snyk.io/vuln/SNYK-RUBY-MIXLIBARCHIVE-325152;no;no;yes;no;
CVE-2016-9177;SNYK-JAVA-COMSPARKJAVA-30379;https://security.snyk.io/vuln/SNYK-JAVA-COMSPARKJAVA-3037;no;no;yes;no;
CVE-2016-8752;SNYK-JAVA-ORGAPACHEATLAS-3105820;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEATLAS-310582;no;no;yes;no;
CVE-2016-7569;SNYK-GOLANG-GITHUBCOMAPPCDOCKER2ACILIB-50031;https://security.snyk.io/vuln/SNYK-GOLANG-GITHUBCOMAPPCDOCKER2ACILIB-5003;no;no;yes;no;
CVE-2016-7135;SNYK-PYTHON-PLONEAPPCONTENT-40411;https://security.snyk.io/vuln/SNYK-PYTHON-PLONEAPPCONTENT-4041;no;no;yes;no;
CVE-2016-6795;SNYK-JAVA-ORGAPACHESTRUTS-30778;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHESTRUTS-3077;no;no;yes;no;
CVE-2016-5851;SNYK-PYTHON-PYTHONDOCX-40402;https://security.snyk.io/vuln/SNYK-PYTHON-PYTHONDOCX-4040;no;no;no;yes;
CVE-2016-5000;SNYK-JAVA-ORGAPACHEPOI-30699;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEPOI-3069;no;no;no;yes;
CVE-2016-4434;SNYK-JAVA-ORGAPACHETIKA-30816;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETIKA-3081;no;no;no;yes;
CVE-2016-4434;SNYK-JAVA-ORGAPACHETIKA-30814;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETIKA-3081;no;no;no;yes;
CVE-2016-3674;SNYK-JAVA-COMTHOUGHTWORKSXSTREAM-30385;https://security.snyk.io/vuln/SNYK-JAVA-COMTHOUGHTWORKSXSTREAM-3038;no;no;no;yes;
CVE-2016-2175;SNYK-JAVA-ORGAPACHEPDFBOX-30697;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEPDFBOX-3069;no;no;no;yes;
CVE-2016-2175;SNYK-JAVA-ORGAPACHEPDFBOX-30696;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEPDFBOX-3069;no;no;no;yes;
CVE-2016-2175;SNYK-JAVA-ORGAPACHEPDFBOX-30693;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEPDFBOX-3069;no;no;no;yes;
CVE-2016-2175;SNYK-JAVA-ORGAPACHEPDFBOX-30025;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEPDFBOX-3002;no;no;no;yes;
CVE-2016-1505;SNYK-PYTHON-RADICALE-40378;https://security.snyk.io/vuln/SNYK-PYTHON-RADICALE-4037;no;no;yes;no;
CVE-2016-15026;SNYK-JAVA-COMGOOGLECODEPLIST-3325626;https://security.snyk.io/vuln/SNYK-JAVA-COMGOOGLECODEPLIST-332562;no;no;no;yes;
CVE-2016-15011;SNYK-JAVA-BEECONTRACTDSSP-3226744;https://security.snyk.io/vuln/SNYK-JAVA-BEECONTRACTDSSP-322674;no;no;no;yes;
CVE-2016-1242;SNYK-PYTHON-TRYTOND-40376;https://security.snyk.io/vuln/SNYK-PYTHON-TRYTOND-4037;no;no;yes;no;
CVE-2016-10149;SNYK-PYTHON-PYSAML2-6057196;https://security.snyk.io/vuln/SNYK-PYTHON-PYSAML2-605719;no;no;no;yes;
CVE-2016-10048;SNYK-COCOAPODS-IMAGEMAGICK-470739;https://security.snyk.io/vuln/SNYK-COCOAPODS-IMAGEMAGICK-47073;no;no;yes;no;
CVE-2016-1000305;SNYK-RUBY-GUARDLIVERELOAD-20361;https://security.snyk.io/vuln/SNYK-RUBY-GUARDLIVERELOAD-2036;no;no;yes;no;
CVE-2016-0709;SNYK-JAVA-ORGAPACHEPORTALSJETSPEED2-30702;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEPORTALSJETSPEED2-3070;no;no;yes;no;
CVE-2015-8549;SNYK-PYTHON-PYAMF-2320005;https://security.snyk.io/vuln/SNYK-PYTHON-PYAMF-232000;no;no;no;yes;
CVE-2015-8309;SNYK-PYTHON-CHERRYMUSIC-40360;https://security.snyk.io/vuln/SNYK-PYTHON-CHERRYMUSIC-4036;no;no;yes;no;
CVE-2015-8031;SNYK-JAVA-ORGJVNETHUDSONMAIN-31221;https://security.snyk.io/vuln/SNYK-JAVA-ORGJVNETHUDSONMAIN-3122;no;no;no;yes;
CVE-2015-5531;SNYK-JAVA-ORGELASTICSEARCH-31131;https://security.snyk.io/vuln/SNYK-JAVA-ORGELASTICSEARCH-3113;no;no;yes;no;
CVE-2015-5345;SNYK-JAVA-ORGAPACHETOMCATEMBED-30984;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCATEMBED-3098;no;no;yes;no;
CVE-2015-5345;SNYK-JAVA-ORGAPACHETOMCAT-30949;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCAT-3094;no;no;yes;no;
CVE-2015-5345;SNYK-JAVA-ORGAPACHETOMCAT-30912;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCAT-3091;no;no;yes;no;
CVE-2015-5345;SNYK-JAVA-ORGAPACHETOMCAT-30851;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCAT-3085;no;no;yes;no;
CVE-2015-5305;SNYK-GOLANG-K8SIOKUBERNETES-50019;https://security.snyk.io/vuln/SNYK-GOLANG-K8SIOKUBERNETES-5001;no;no;yes;no;
CVE-2015-5254;SNYK-JAVA-ORGAPACHEACTIVEMQ-467288;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-46728;no;yes;no;no;
CVE-2015-5254;SNYK-JAVA-ORGAPACHEACTIVEMQ-467193;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-46719;no;yes;no;no;
CVE-2015-5254;SNYK-JAVA-ORGAPACHEACTIVEMQ-30484;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-3048;no;yes;no;no;
CVE-2015-5174;SNYK-JAVA-ORGAPACHETOMCATEMBED-451532;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCATEMBED-45153;no;no;yes;no;
CVE-2015-5174;SNYK-JAVA-ORGAPACHETOMCAT-30948;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCAT-3094;no;no;yes;no;
CVE-2015-5174;SNYK-JAVA-ORGAPACHETOMCAT-30850;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCAT-3085;no;no;yes;no;
CVE-2015-5161;SNYK-PHP-ZENDFRAMEWORKZENDXML-70365;https://security.snyk.io/vuln/SNYK-PHP-ZENDFRAMEWORKZENDXML-7036;no;no;no;yes;
CVE-2015-5161;SNYK-PHP-ZENDFRAMEWORKZENDFRAMEWORK1-70357;https://security.snyk.io/vuln/SNYK-PHP-ZENDFRAMEWORKZENDFRAMEWORK1-7035;no;no;no;yes;
CVE-2015-5161;SNYK-PHP-ZENDFRAMEWORKZENDFRAMEWORK-70333;https://security.snyk.io/vuln/SNYK-PHP-ZENDFRAMEWORKZENDFRAMEWORK-7033;no;no;no;yes;
CVE-2015-4670;SNYK-DOTNET-AJAXCONTROLTOOLKIT-174365;https://security.snyk.io/vuln/SNYK-DOTNET-AJAXCONTROLTOOLKIT-17436;no;no;yes;no;
CVE-2015-3337;SNYK-JAVA-ORGELASTICSEARCH-31128;https://security.snyk.io/vuln/SNYK-JAVA-ORGELASTICSEARCH-3112;no;no;yes;no;
CVE-2015-3269;SNYK-JAVA-ORGAPACHEFLEXBLAZEDS-30606;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEFLEXBLAZEDS-3060;no;no;no;yes;
CVE-2015-2067;SNYK-PHP-DWEEVESMAGMI-5812978;https://security.snyk.io/vuln/SNYK-PHP-DWEEVESMAGMI-581297;no;no;yes;no;
CVE-2015-1833;SNYK-JAVA-ORGAPACHEJACKRABBIT-30653;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEJACKRABBIT-3065;no;no;no;yes;
CVE-2015-1832;SNYK-JAVA-ORGAPACHEDERBY-30020;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEDERBY-3002;no;no;no;yes;
CVE-2015-1830;SNYK-JAVA-ORGAPACHEACTIVEMQ-30506;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-3050;no;no;yes;no;
CVE-2015-1830;SNYK-JAVA-ORGAPACHEACTIVEMQ-30489;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-3048;no;no;yes;no;
CVE-2015-1811;SNYK-JAVA-ORGJENKINSCIMAIN-6210160;https://security.snyk.io/vuln/SNYK-JAVA-ORGJENKINSCIMAIN-621016;no;no;no;yes;
CVE-2015-1809;SNYK-JAVA-ORGJENKINSCIMAIN-6210166;https://security.snyk.io/vuln/SNYK-JAVA-ORGJENKINSCIMAIN-621016;no;no;no;yes;
CVE-2015-1589;SNYK-PYTHON-ARCHMAGE-40310;https://security.snyk.io/vuln/SNYK-PYTHON-ARCHMAGE-4031;no;no;yes;no;
CVE-2015-10082;SNYK-UNMANAGED-UIKIT0LIBPLIST-3327020;https://security.snyk.io/vuln/SNYK-UNMANAGED-UIKIT0LIBPLIST-332702;no;no;no;yes;
CVE-2015-10082;SNYK-COCOAPODS-LIBPLIST-3327019;https://security.snyk.io/vuln/SNYK-COCOAPODS-LIBPLIST-332701;no;no;no;yes;
CVE-2015-10030;SNYK-PHP-SUKOHISURPASS-3227312;https://security.snyk.io/vuln/SNYK-PHP-SUKOHISURPASS-322731;no;no;yes;no;
CVE-2015-10029;SNYK-PHP-KELVINMOSIMPLEXRD-3227302;https://security.snyk.io/vuln/SNYK-PHP-KELVINMOSIMPLEXRD-322730;no;no;no;yes;
CVE-2015-0269;SNYK-PHP-CONTAOCORE-70017;https://security.snyk.io/vuln/SNYK-PHP-CONTAOCORE-7001;no;no;yes;no;
CVE-2015-0254;SNYK-JAVA-TAGLIBS-31357;https://security.snyk.io/vuln/SNYK-JAVA-TAGLIBS-3135;no;no;no;yes;
CVE-2015-0254;SNYK-JAVA-ORGAPACHETAGLIBS-30807;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETAGLIBS-3080;no;no;no;yes;
CVE-2015-0254;SNYK-JAVA-ORGAPACHETAGLIBS-30064;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETAGLIBS-3006;no;no;no;yes;
CVE-2015-0254;SNYK-JAVA-JSTL-30453;https://security.snyk.io/vuln/SNYK-JAVA-JSTL-3045;no;no;no;yes;
CVE-2015-0254;SNYK-JAVA-JAVAXSERVLETJSPJSTL-30450;https://security.snyk.io/vuln/SNYK-JAVA-JAVAXSERVLETJSPJSTL-3045;no;no;no;yes;
CVE-2015-0254;SNYK-JAVA-JAVAXSERVLET-30449;https://security.snyk.io/vuln/SNYK-JAVA-JAVAXSERVLET-3044;no;no;no;yes;
CVE-2014-9358;SNYK-GOLANG-GITHUBCOMDOCKERDOCKER-50008;https://security.snyk.io/vuln/SNYK-GOLANG-GITHUBCOMDOCKERDOCKER-5000;no;no;yes;no;
CVE-2014-9356;SNYK-GOLANG-GITHUBCOMDOCKERDOCKER-50006;https://security.snyk.io/vuln/SNYK-GOLANG-GITHUBCOMDOCKERDOCKER-5000;no;no;yes;no;
CVE-2014-8125;SNYK-JAVA-ORGDROOLS-31091;https://security.snyk.io/vuln/SNYK-JAVA-ORGDROOLS-3109;no;no;no;yes;
CVE-2014-7816;SNYK-JAVA-IOUNDERTOW-30448;https://security.snyk.io/vuln/SNYK-JAVA-IOUNDERTOW-3044;no;no;yes;no;
CVE-2014-7816;SNYK-JAVA-IOUNDERTOW-30101;https://security.snyk.io/vuln/SNYK-JAVA-IOUNDERTOW-3010;no;no;yes;no;
CVE-2014-6394;SNYK-JAVA-ORGWEBJARSNPM-480196;https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSNPM-48019;no;no;yes;no;
CVE-2014-3682;SNYK-JAVA-ORGJBPM-31208;https://security.snyk.io/vuln/SNYK-JAVA-ORGJBPM-3120;no;no;no;yes;
CVE-2014-3630;SNYK-JAVA-COMTYPESAFEPLAY-30390;https://security.snyk.io/vuln/SNYK-JAVA-COMTYPESAFEPLAY-3039;no;no;no;yes;
CVE-2014-3630;SNYK-JAVA-COMTYPESAFEPLAY-30389;https://security.snyk.io/vuln/SNYK-JAVA-COMTYPESAFEPLAY-3038;no;no;no;yes;
CVE-2014-3630;SNYK-JAVA-COMTYPESAFEAKKA-30388;https://security.snyk.io/vuln/SNYK-JAVA-COMTYPESAFEAKKA-3038;no;no;no;yes;
CVE-2014-3600;SNYK-JAVA-ORGAPACHEACTIVEMQ-467283;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-46728;no;no;no;yes;
CVE-2014-3600;SNYK-JAVA-ORGAPACHEACTIVEMQ-30505;https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-3050;no;no;no;yes;
